Subject,TrainingTask,FinalTestCondition,CorrectPercentage,Efficiency (Word Learned/Minute)
82,RE,CE,0.125,0.43056226647977075
83,CE,EC,0.4583333333333333,1.3891929210096485
83,EC,EC,0.2916666666666667,0.9087132620209784
83,PI,EC,0.3333333333333333,1.0783560462075565
83,RE,EC,0.08333333333333333,0.6321645313553608
84,CE,EC,0.18181818181818182,0.9683823173388854
84,EC,EC,0.2727272727272727,1.279499573500142
84,PI,EC,0.6666666666666666,1.8445079774970028
84,RE,EC,0,0
85,CE,EC,0.6666666666666666,0.9883884943342688
85,EC,EC,0.8333333333333334,1.3286594048048752
85,PI,EC,0.7083333333333334,1.3409795461178642
85,RE,EC,0.5416666666666666,3.2782200105911725
86,CE,EC,0.25,0.3921457562204121
86,EC,EC,0.041666666666666664,0.07759015329227952
86,PI,EC,0.2916666666666667,0.46804166908116734
86,RE,EC,0.125,0.22988270873349953
87,CE,CE,0.16666666666666666,0.48640695237670595
87,EC,CE,0.09090909090909091,0.17931483800398676
87,PI,CE,0,0
87,RE,CE,0,0
88,CE,EC,0.8181818181818182,1.295305716136151
88,EC,EC,0.9545454545454546,1.5639002182013162
88,PI,EC,0.4583333333333333,0.6057646769438622
88,RE,EC,0.8333333333333334,2.275554476774174
89,CE,EC,0.125,0.37672666387609877
89,EC,EC,0.08333333333333333,0.24670342547706275
89,PI,EC,0.2916666666666667,0.6892092800388583
89,RE,EC,0,0
90,CE,CE,0.16666666666666666,0.5348546978070957
90,EC,CE,0.16666666666666666,0.4904064243241587
90,PI,CE,0.25,0.6222882923372112
90,RE,CE,0,0
91,CE,CE,0.08333333333333333,0.32963410614218214
91,EC,CE,0.08333333333333333,0.19919723514237622
91,PI,CE,0.08333333333333333,0.32513804819629666
91,RE,CE,0.08333333333333333,0.38452911205819207
92,CE,CE,0.3333333333333333,0.3975260628024925
92,EC,CE,0.16666666666666666,0.27546628407460544
92,PI,CE,0.20833333333333334,0.2645567968168526
92,RE,CE,0.5833333333333334,1.9764984917434125
93,CE,EC,0.4090909090909091,0.7575098686702335
93,EC,EC,0.2916666666666667,0.706621039136711
93,PI,EC,0.5,1.0742152532055558
93,RE,EC,0.041666666666666664,0.20031248748046956
94,CE,EC,0.1,0.24539475836796126
94,EC,EC,0.20833333333333334,0.38808124869022576
94,PI,EC,0.3,0.46725939386073073
94,RE,EC,0.18181818181818182,2.460175902577034
95,CE,CE,0.2916666666666667,0.33194338626513104
95,EC,CE,0.08333333333333333,0.10270595968448729
95,PI,CE,0.375,0.3805416375975138
95,RE,CE,0.25,1.263140166453804
96,CE,EC,0.25,1.0304261957237313
96,EC,EC,0.125,0.47094529185526285
96,PI,EC,0.20833333333333334,0.7383706620723604
96,RE,EC,0.041666666666666664,0.12413930084745764
97,CE,CE,0.375,1.3532952739921709
97,EC,CE,0.25,1.0774056072976272
97,PI,CE,0.08333333333333333,0.19165838808907001
97,RE,CE,0.125,0.6039579376849621
98,CE,EC,0.75,0.9017674642298906
98,EC,EC,0.5833333333333334,0.7106346474998351
98,PI,EC,0.7916666666666666,1.3841401818323102
98,RE,EC,0.4583333333333333,1.1875757979249812
99,CE,CE,0,0
99,EC,CE,0,0
99,PI,CE,0.08333333333333333,0.4149377593360996
99,RE,CE,0.08333333333333333,1.9982016185433107
100,CE,CE,0.375,0.7266561705219813
100,EC,CE,0.08333333333333333,0.21826833181151797
100,PI,CE,0.5833333333333334,1.1231117683394793
100,RE,CE,0.13636363636363635,0.5419760446588261
101,CE,CE,0.041666666666666664,0.04992752188073646
101,EC,CE,0,0
101,PI,CE,0.2727272727272727,0.28927001105654265
101,RE,CE,0.16666666666666666,0.28851632882205996
102,CE,CE,0.4166666666666667,1.1148644882214567
102,EC,CE,0.16666666666666666,0.6804881368234814
102,PI,CE,0.25,0.7603245741126379
102,RE,CE,0.09090909090909091,0.7446848121532562
103,CE,EC,0.5416666666666666,1.4590020426028596
103,EC,EC,0.4166666666666667,0.8208518253008422
103,PI,EC,0.4583333333333333,0.731199854646332
103,RE,EC,0.2916666666666667,1.3293747507422344
