Subject,TrainingTask,FinalTestCondition,CorrectPercentage,Efficiency(Word Learned /Minute)
53,PI,EC,0.16666666666666666,0.3832629087738461
53,RE,EC,0,0
54,CE,EC,0.16666666666666666,0.2373131406218791
54,EC,EC,0.4166666666666667,0.47897690533021464
54,PI,EC,0.25,0.33715757433856236
54,RE,EC,0.2,0.4628219022751554
55,CE,CE,0.5,1.4987572804216505
55,EC,CE,0.3333333333333333,1.168429047146112
55,PI,CE,0.8333333333333334,2.1149175710876666
55,RE,CE,0.16666666666666666,1.6366612111292962
56,CE,EC,0,0
56,EC,EC,0,0
56,PI,EC,0.08333333333333333,0.20957696888829896
56,RE,EC,0,0
57,CE,CE,0.16666666666666666,0.584726932522512
57,EC,CE,0.08333333333333333,0.24404628744585222
57,PI,CE,0.08333333333333333,0.21878008226131093
57,RE,CE,0.08333333333333333,0.5797717631825605
58,CE,CE,0.16666666666666666,0.4473839225131046
58,EC,CE,0.08333333333333333,0.20817431128998679
58,PI,CE,0,0
58,RE,CE,0.08333333333333333,0.911881820116113
59,CE,CE,0.16666666666666666,0.5694085268926902
59,EC,CE,0.3333333333333333,1.374192661811186
59,PI,CE,0.4166666666666667,1.664373529803382
59,RE,CE,0.09090909090909091,1.3889210398388852
60,CE,EC,0.25,0.2768195889844259
60,EC,EC,0.16666666666666666,0.24675466212089744
60,PI,EC,0.25,0.26623438091631957
60,RE,EC,0.16666666666666666,0.6487222873947854
61,CE,EC,0,0
61,EC,EC,0.18181818181818182,0.6231467874186664
61,PI,EC,0.1,0.32445410596671104
61,RE,EC,0,0
62,CE,EC,0.6666666666666666,1.6337922701203218
62,EC,EC,0.7272727272727273,1.7269479433129336
62,PI,EC,0.4166666666666667,0.8834780764915318
62,RE,EC,0.25,1.3769995180501688
63,CE,CE,0.18181818181818182,0.3789421828964446
63,EC,CE,0,0
63,PI,CE,0.16666666666666666,0.3484765765661118
63,RE,CE,0,0
64,CE,CE,0.18181818181818182,0.6093257303022763
64,EC,CE,0,0
64,PI,CE,0.3,0.8892270147167071
64,RE,CE,0.1,0.6181042741910561
65,CE,EC,0.09090909090909091,0.4108604101756428
65,EC,EC,0,0
65,PI,EC,0.16666666666666666,0.5799538936654536
65,RE,EC,0,0
66,CE,EC,0.18181818181818182,0.39505912718270164
66,EC,EC,0.36363636363636365,0.3887754060678122
66,PI,EC,0.3333333333333333,0.3921575035253325
66,RE,EC,0,0
67,CE,CE,0.08333333333333333,0.35238979009314836
67,EC,CE,0.08333333333333333,0.2507197746864958
67,PI,CE,0.08333333333333333,0.20668772584940043
67,RE,CE,0,0
68,CE,EC,0,0
68,EC,EC,0,0
68,PI,EC,0,0
68,RE,EC,0,0
69,CE,CE,0.16666666666666666,0.5539373404545056
69,EC,CE,0,0
69,PI,CE,0.16666666666666666,0.3830806065442937
69,RE,CE,0.08333333333333333,1.836997122037842
70,CE,EC,0.5,1.2876033838216927
70,EC,EC,0.2222222222222222,0.6673711139536177
70,PI,EC,0.45454545454545453,1.223810456236538
70,RE,EC,0,0
71,CE,CE,0.3333333333333333,0.6796806633683274
71,EC,CE,0.18181818181818182,0.3516885446248802
71,PI,CE,0.5454545454545454,0.904297674699007
71,RE,CE,0.08333333333333333,0.3334000133360005
72,CE,EC,0.16666666666666666,0.44910179640718567
72,EC,EC,0.3,0.7589364770168737
72,PI,EC,0.3,1.023331968890708
72,RE,EC,0.2,1.4971927635683093
73,CE,CE,0.09090909090909091,0.084437470534841
73,EC,CE,0.09090909090909091,0.04568400374608831
73,PI,CE,0.2222222222222222,0.24127780726728756
73,RE,CE,0.4166666666666667,2.645059469753745
74,CE,EC,0.18181818181818182,0.5314555238158507
74,EC,EC,0.16666666666666666,0.5445164920432528
74,PI,EC,0.25,0.7280198668532555
74,RE,EC,0,0
75,CE,CE,0.6666666666666666,1.5014451409481626
75,EC,CE,0.16666666666666666,0.4511668302146426
75,PI,CE,0.1,0.1997330235252213
75,RE,CE,0.18181818181818182,1.5202189115232594
76,CE,EC,0.3333333333333333,1.2786293093803445
76,EC,EC,0.25,1.032116009839506
76,PI,EC,0.08333333333333333,0.31764687197242825
76,RE,EC,0.08333333333333333,0.5866937849571714
77,CE,CE,0,0
77,EC,CE,0,0
77,PI,CE,0.2222222222222222,0.6691089142035094
77,RE,CE,0.1,0.7902431314701156
78,CE,EC,0.5,1.105118232301992
78,EC,EC,0.25,0.9209987720016373
78,PI,EC,0.5,1.1657162840850586
78,RE,EC,0,0
79,CE,CE,0.5454545454545454,1.0285978782311544
79,EC,CE,0.16666666666666666,0.35748012261568207
79,PI,CE,0.3,0.5899840376540922
79,RE,CE,0.2727272727272727,2.380983875448088
80,CE,CE,0.5,0.636703854888117
80,EC,CE,0.16666666666666666,0.2951114783609508
80,PI,CE,0.5,0.7637976869660046
80,RE,CE,0.8333333333333334,1.1229982556093763
81,CE,CE,0.4166666666666667,0.6458488067943294
81,EC,CE,0.25,0.4418403140011832
81,PI,CE,0.4166666666666667,0.4559887279586449
81,RE,CE,0.08333333333333333,0.31934597943411897
82,CE,CE,0.16666666666666666,0.5180877381584571
82,EC,CE,0.16666666666666666,0.4824489106705638
82,PI,CE,0.25,0.6939491489484744
82,RE,CE,0.08333333333333333,0.2870415109865138
83,CE,EC,0.3333333333333333,1.0103221243706535
83,EC,EC,0.25,0.7788970817322671
83,PI,EC,0.25,0.8087670346556673
83,RE,EC,0,0
84,CE,EC,0.18181818181818182,0.9683823173388854
84,EC,EC,0.2727272727272727,1.279499573500142
84,PI,EC,0.5555555555555556,1.5370899812475023
84,RE,EC,0,0
85,CE,EC,0.5,0.7412913707507016
85,EC,EC,0.8333333333333334,1.3286594048048754
85,PI,EC,0.6666666666666666,1.2620983963462251
85,RE,EC,0.5,3.0260492405456976
86,CE,EC,0.25,0.3921457562204121
86,EC,EC,0,0
86,PI,EC,0.25,0.40117857349814345
86,RE,EC,0.08333333333333333,0.15325513915566635
87,CE,CE,0.16666666666666666,0.48640695237670595
87,EC,CE,0.09090909090909091,0.17931483800398676
87,PI,CE,0,0
87,RE,CE,0,0
88,CE,EC,0.7272727272727273,1.1513828587876898
88,EC,EC,0.9090909090909091,1.4894287792393488
88,PI,EC,0.25,0.3304170965148339
88,RE,EC,0.75,2.0479990290967565
89,CE,EC,0.08333333333333333,0.25115110925073253
89,EC,EC,0.08333333333333333,0.24670342547706275
89,PI,EC,0.16666666666666666,0.393833874307919
89,RE,EC,0,0
90,CE,CE,0.16666666666666666,0.5348546978070957
90,EC,CE,0.16666666666666666,0.4904064243241587
90,PI,CE,0.25,0.6222882923372112
90,RE,CE,0,0
91,CE,CE,0.08333333333333333,0.32963410614218214
91,EC,CE,0.08333333333333333,0.19919723514237622
91,PI,CE,0.08333333333333333,0.32513804819629666
91,RE,CE,0.08333333333333333,0.38452911205819207
92,CE,CE,0.3333333333333333,0.3975260628024925
92,EC,CE,0.16666666666666666,0.27546628407460544
92,PI,CE,0.16666666666666666,0.21164543745348208
92,RE,CE,0.5833333333333334,1.9764984917434125
93,CE,EC,0.2727272727272727,0.505006579113489
93,EC,EC,0.25,0.6056751764028951
93,PI,EC,0.36363636363636365,0.7812474568767679
93,RE,EC,0,0
94,CE,EC,0,0
94,EC,EC,0.08333333333333333,0.1552324994760903
94,PI,EC,0.3,0.46725939386073073
94,RE,EC,0.18181818181818182,2.460175902577034
95,CE,CE,0.25,0.28452290251296947
95,EC,CE,0.08333333333333333,0.10270595968448729
95,PI,CE,0.25,0.25369442506500917
95,RE,CE,0.25,1.263140166453804
96,CE,EC,0.25,1.0304261957237313
96,EC,EC,0.08333333333333333,0.31396352790350857
96,PI,EC,0.16666666666666666,0.5906965296578883
96,RE,EC,0,0
97,CE,CE,0.3333333333333333,1.2029291324374851
97,EC,CE,0.25,1.0774056072976272
97,PI,CE,0.08333333333333333,0.19165838808907001
97,RE,CE,0.08333333333333333,0.40263862512330806
98,CE,EC,0.75,0.9017674642298906
98,EC,EC,0.5833333333333334,0.7106346474998351
98,PI,EC,0.75,1.3112906985779782
98,RE,EC,0.3333333333333333,0.8636914893999863
99,CE,CE,0,0
99,EC,CE,0,0
99,PI,CE,0,0
99,RE,CE,0,0
100,CE,CE,0.25,0.48443744701465424
100,EC,CE,0.08333333333333333,0.21826833181151803
100,PI,CE,0.5833333333333334,1.1231117683394793
100,RE,CE,0.09090909090909091,0.361317363105884
101,CE,CE,0,0
101,EC,CE,0,0
101,PI,CE,0.2727272727272727,0.28927001105654265
101,RE,CE,0.16666666666666666,0.28851632882205996
102,CE,CE,0.4166666666666667,1.1148644882214567
102,EC,CE,0.16666666666666666,0.6804881368234814
102,PI,CE,0.25,0.7603245741126378
102,RE,CE,0.09090909090909091,0.7446848121532562
103,CE,EC,0.4166666666666667,1.1223092635406613
103,EC,EC,0.4166666666666667,0.8208518253008422
103,PI,EC,0.3333333333333333,0.5317817124700596
103,RE,EC,0.25,1.1394640720647724
